ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
,Versace,Greca and Medusa drop earrings,$375,One Size,https://cdn-images.farfetch-contents.com/11/24/39/31/11243931_5957839_480.jpg,-0%,$375
,Tom Wood,Ice hoop earrings,$185,One Size,https://cdn-images.farfetch-contents.com/16/64/32/04/16643204_35276249_480.jpg,-0%,$185
,Valentino Garavani,VLOGO stud earrings,$270,One Size,https://cdn-images.farfetch-contents.com/15/72/16/62/15721662_30754757_480.jpg,-0%,$270
,Dolce & Gabbana,logo curb chain hoop earrings,$625,One Size,https://cdn-images.farfetch-contents.com/16/98/79/71/16987971_34243309_480.jpg,-0%,$625
,Versace,gold-tone Medusa head earrings,$195,One Size,https://cdn-images.farfetch-contents.com/15/35/25/50/15352550_28421424_480.jpg,-0%,$195
,Valentino Garavani,VLogo chain bracelet,$320,One Size,https://cdn-images.farfetch-contents.com/16/07/71/26/16077126_32596076_480.jpg,-0%,$320
,Mondo Mondo,Felt stone-embellished ring,$90,"XXS, XS, S, M, XL",https://cdn-images.farfetch-contents.com/16/08/94/13/16089413_30218958_480.jpg,-0%,$90
,Alexander McQueen,skull charm wrap bracelet,$220,One Size,https://cdn-images.farfetch-contents.com/15/55/67/08/15556708_27878637_480.jpg,-0%,$220
,Paco Rabanne,double-wrap chain necklace,$505,One Size,https://cdn-images.farfetch-contents.com/15/68/52/50/15685250_30114699_480.jpg,-0%,$505
,Salvatore Ferragamo,Gancini stud earrings,$140,One Size,https://cdn-images.farfetch-contents.com/16/02/69/05/16026905_30966206_480.jpg,-0%,$140
,Tory Burch,multi-logo band ring,$95,"XS, S, M, XL, XXL",https://cdn-images.farfetch-contents.com/16/03/34/21/16033421_30153621_480.jpg,-0%,$95
,Tory Burch,Miller hinge stud bangle,$200,"S, M, L",https://cdn-images.farfetch-contents.com/16/03/34/41/16033441_30144801_480.jpg,-0%,$200
New Season,Versace,Medusa-plaque hoop earrings,$725,One Size,https://cdn-images.farfetch-contents.com/17/33/29/33/17332933_37021065_480.jpg,-0%,$725
,Versace,Medusa motif ring,$225,"XXS, XS, S, M, L, XL, XXL, XXXL",https://cdn-images.farfetch-contents.com/12/77/16/29/12771629_12923572_480.jpg,-0%,$225
,Valentino Garavani,VLogo cuff bracelet,$690,"S, M, L",https://cdn-images.farfetch-contents.com/16/74/47/44/16744744_34665694_480.jpg,-0%,$690
,Salvatore Ferragamo,small Gancini earrings,$140,One Size,https://cdn-images.farfetch-contents.com/16/02/45/98/16024598_30912879_480.jpg,-0%,$140
,Simone Rocha,pearl-embellished hoop earrings,$225,One Size,https://cdn-images.farfetch-contents.com/16/90/83/11/16908311_34548758_480.jpg,-0%,$225
,Tory Burch,logo detail bracelet,$170,"S, M, L",https://cdn-images.farfetch-contents.com/15/75/25/05/15752505_28722718_480.jpg,-0%,$170
,Versace,Medusa chain ring,$425,"XXS, XS, S, M, L, XL, XXL, XXXL",https://cdn-images.farfetch-contents.com/15/99/07/94/15990794_30317393_480.jpg,-0%,$425
