ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
New Season,Balenciaga,Hourglass mini bag,"$1,150",One Size,https://cdn-images.farfetch-contents.com/17/33/71/35/17337135_37145572_480.jpg,-0%,"$1,150"
New Season,Off-White,Binder camera bag,$995,One Size,https://cdn-images.farfetch-contents.com/17/59/05/73/17590573_36903617_480.jpg,-0%,$995
,Prada,triangle logo metallic-finish mini bag,"$1,790",One Size,https://cdn-images.farfetch-contents.com/17/28/00/33/17280033_35758892_480.jpg,-0%,"$1,790"
,Off-White,Burrow-22 shoulder bag,"$1,855",One Size,https://cdn-images.farfetch-contents.com/16/86/75/40/16867540_36434163_480.jpg,-0%,"$1,855"
,Chloé,Woody canvas tote bag,$950,One Size,https://cdn-images.farfetch-contents.com/16/26/28/22/16262822_37673849_480.jpg,-0%,$950
New Season,Rosantica,Liquiriza Piume feather-trim clutch bag,$709,One Size,https://cdn-images.farfetch-contents.com/17/61/85/70/17618570_37565849_480.jpg,-0%,$709
New Season,Versace,La Medusa round leather bag,"$1,495",One Size,https://cdn-images.farfetch-contents.com/17/50/21/53/17502153_37835791_480.jpg,-0%,"$1,495"
New Season,Gucci,GG Marmont super mini bag,"$1,150",One Size,https://cdn-images.farfetch-contents.com/17/60/68/24/17606824_36617343_480.jpg,-0%,"$1,150"
Exclusive,Black & Brown,Katie crystal-fringe shoulder bag,"$1,045",One Size,https://cdn-images.farfetch-contents.com/17/39/17/78/17391778_38288726_480.jpg,-0%,"$1,045"
New Season,STAUD,Bean bead-embellished shoulder bag,$210,One Size,https://cdn-images.farfetch-contents.com/17/74/35/16/17743516_37776187_480.jpg,-0%,$210
,Dolce & Gabbana,geometric floral print clutch,$485,One Size,https://cdn-images.farfetch-contents.com/15/02/02/64/15020264_35277944_480.jpg,-0%,$485
Exclusive,Black & Brown,Jennifer crystal-fringe shoulder bag,"$1,570",One Size,https://cdn-images.farfetch-contents.com/17/39/34/44/17393444_37891661_480.jpg,-0%,"$1,570"
New Season,Benedetta Bruzziches,Venus La Petite clutch bag,"$1,054",One Size,https://cdn-images.farfetch-contents.com/17/73/88/03/17738803_37960737_480.jpg,-0%,"$1,054"
New Season,Chloé,Juana chain-strap shoulder bag,"$1,750",One Size,https://cdn-images.farfetch-contents.com/17/64/74/33/17647433_38069360_480.jpg,-0%,"$1,750"
New Season,BY FAR,Fran logo shoulder bag,$570,One Size,https://cdn-images.farfetch-contents.com/17/50/16/71/17501671_37997501_480.jpg,-0%,$570
New Season,Balenciaga,Triplet quilted crossbody bag,"$2,150",One Size,https://cdn-images.farfetch-contents.com/17/73/15/46/17731546_38012367_480.jpg,-0%,"$2,150"
,Alexander McQueen,logo-print shoulder bag,"$1,050",One Size,https://cdn-images.farfetch-contents.com/17/50/09/54/17500954_37704279_480.jpg,-0%,"$1,050"
,Chloé,Darryl leather belt bag,$990,One Size,https://cdn-images.farfetch-contents.com/16/98/72/10/16987210_36454505_480.jpg,-0%,$990
New Season,STAND STUDIO,Wanda padded quilted shoulder bag,$345,One Size,https://cdn-images.farfetch-contents.com/17/00/66/18/17006618_37728120_480.jpg,-0%,$345
,Chloé,Marcie leather tote bag,"$1,850",One Size,https://cdn-images.farfetch-contents.com/16/85/86/94/16858694_35781085_480.jpg,-0%,"$1,850"
,Balmain,monogram-jacquard tote bag,"$1,550",One Size,https://cdn-images.farfetch-contents.com/16/98/32/86/16983286_38349630_480.jpg,-0%,"$1,550"
,Manu Atelier,Cylinder shoulder bag,$412,One Size,https://cdn-images.farfetch-contents.com/15/24/83/16/15248316_27831111_480.jpg,-0%,$412
