ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
,Bvlgari Pre-Owned,"1970s white, rose and gold patterned bracelet","$8,237",XS,https://cdn-images.farfetch-contents.com/17/67/96/94/17679694_37807586_480.jpg,-0%,"$8,237"
,Christian Dior,1999 pre-owned leopard-printed Lady Dior bag,"$2,918",One Size,https://cdn-images.farfetch-contents.com/17/65/31/15/17653115_37084823_480.jpg,-0%,"$2,918"
,Rolex,2007 pre-owned Datejust 36mm,"$11,891",One Size,https://cdn-images.farfetch-contents.com/17/66/84/75/17668475_37056379_480.jpg,-0%,"$11,891"
Exclusive,Louis Vuitton,2017 pre-owned Malle mini bag,"$4,621",One Size,https://cdn-images.farfetch-contents.com/16/87/86/63/16878663_33730002_480.jpg,-0%,"$4,621"
,Chanel Pre-Owned,2000s CC logo rugby ball,"$5,169",One Size,https://cdn-images.farfetch-contents.com/17/58/47/36/17584736_36714941_480.jpg,-0%,"$5,169"
,Christian Dior,2002 pre-owned Montaigne Chris 1947 shoulder bag,"$2,476",One Size,https://cdn-images.farfetch-contents.com/17/62/45/80/17624580_36974516_480.jpg,-0%,"$2,476"
,Louis Vuitton,2019 pre-owned Speedy 30 tote bag,"$3,211",One Size,https://cdn-images.farfetch-contents.com/17/67/84/67/17678467_37103460_480.jpg,-0%,"$3,211"
,Chanel Pre-Owned,1992 Classic Flap two-in-one handbag,"$40,498",One Size,https://cdn-images.farfetch-contents.com/17/46/65/25/17466525_36604060_480.jpg,-0%,"$40,498"
,Louis Vuitton,1999 pre-owned Pour Veuve Clicquot Petanque case ball set,"$2,138",One Size,https://cdn-images.farfetch-contents.com/17/59/30/10/17593010_36842462_480.jpg,-0%,"$2,138"
Exclusive,Louis Vuitton,x Yayoi Kusama 2012 pre-owned Pochette Accessoires clutch,"$2,826",One Size,https://cdn-images.farfetch-contents.com/17/53/19/95/17531995_36988678_480.jpg,-0%,"$2,826"
,Bottega Veneta Pre-Owned,2000s Intrecciato Hobo bag,"$2,191",One Size,https://cdn-images.farfetch-contents.com/17/46/72/32/17467232_36603458_480.jpg,-0%,"$2,191"
,Louis Vuitton,pre-owned Papillon 30 bag,"$1,711",One Size,https://cdn-images.farfetch-contents.com/17/71/14/67/17711467_37478363_480.jpg,-0%,"$1,711"
,Chanel Pre-Owned,1997 quilted CC crossbody bag,"$5,821",One Size,https://cdn-images.farfetch-contents.com/17/49/55/16/17495516_36523150_480.jpg,-0%,"$5,821"
,Chanel Pre-Owned,2001 mini clover-print top-handle bag,"$2,917",One Size,https://cdn-images.farfetch-contents.com/17/46/65/47/17466547_36604095_480.jpg,-0%,"$2,917"
,Christian Dior,2002 pre-owned Trotter Saddle bag,"$3,647",One Size,https://cdn-images.farfetch-contents.com/17/40/44/05/17404405_36291681_480.jpg,-0%,"$3,647"
,Chanel Pre-Owned,2007 CC logo rugby ball,"$4,414",One Size,https://cdn-images.farfetch-contents.com/16/04/61/05/16046105_30151922_480.jpg,-0%,"$4,414"
,Chanel Pre-Owned,1998 CC Turn-lock top-handle bag,"$9,420",One Size,https://cdn-images.farfetch-contents.com/17/54/73/97/17547397_36569772_480.jpg,-0%,"$9,420"
,Cartier,2013 pre-owned Ballon Bleu De 42mm,"$49,212",One Size,https://cdn-images.farfetch-contents.com/17/64/91/50/17649150_37767060_480.jpg,-0%,"$49,212"
,Hermès,2000 pre-owned mini Quelle Idole handbag,"$73,944",One Size,https://cdn-images.farfetch-contents.com/17/18/67/10/17186710_35013257_480.jpg,-0%,"$73,944"
,Chanel Pre-Owned,Double CC Turn-lock flap bag,"$7,832",One Size,https://cdn-images.farfetch-contents.com/17/65/77/00/17657700_37363331_480.jpg,-0%,"$7,832"
,Christian Dior,2004 pre-owned Saddle shoulder bag,"$4,734",One Size,https://cdn-images.farfetch-contents.com/16/08/26/10/16082610_30364249_480.jpg,-0%,"$4,734"
,Chanel Pre-Owned,1985-1993 jewel-print crossbody bag,"$5,006",One Size,https://cdn-images.farfetch-contents.com/17/43/35/01/17433501_36348096_480.jpg,-0%,"$5,006"
,Chanel Pre-Owned,2005 emblem patch single-breasted blazer,"$14,092",S,https://cdn-images.farfetch-contents.com/15/96/78/22/15967822_29826514_480.jpg,-0%,"$14,092"
,Pragnell Vintage,pre-owned 9kt yellow gold Victorian diamond locket,"$11,257",One Size,https://cdn-images.farfetch-contents.com/17/66/94/64/17669464_37040094_480.jpg,-0%,"$11,257"
,Chanel Pre-Owned,1992 CC quilted shoulder bag,"$9,420",One Size,https://cdn-images.farfetch-contents.com/17/50/17/80/17501780_36569726_480.jpg,-0%,"$9,420"
,Chanel Pre-Owned,1992 diamond-quilted rectangle-shaped handbag,"$20,298",One Size,https://cdn-images.farfetch-contents.com/17/31/77/37/17317737_35866921_480.jpg,-0%,"$20,298"
Exclusive,Louis Vuitton,x Yayoi Kusama 2012 pre-owned Dots Speedy 30 handbag,"$6,161",One Size,https://cdn-images.farfetch-contents.com/17/53/40/72/17534072_36988699_480.jpg,-0%,"$6,161"
,Chanel Pre-Owned,1992 diamond-quilted logo-print backpack,"$13,445",One Size,https://cdn-images.farfetch-contents.com/17/67/91/21/17679121_37105055_480.jpg,-0%,"$13,445"
,Cartier,pre-owned Love Knot 0.42kt diamond earrings,"$6,924",One Size,https://cdn-images.farfetch-contents.com/17/26/78/59/17267859_35949567_480.jpg,-0%,"$6,924"
,Chanel Pre-Owned,Timeless flap shoulder bag,"$4,833",One Size,https://cdn-images.farfetch-contents.com/17/81/70/69/17817069_37528360_480.jpg,-0%,"$4,833"
,Hermès,1996 pre-owned Kelly 20 Sellier tote bag,"$52,570",One Size,https://cdn-images.farfetch-contents.com/17/31/06/25/17310625_35843063_480.jpg,-0%,"$52,570"
,Chanel Pre-Owned,1995 Mademoiselle CC crossbody bag,"$7,180",One Size,https://cdn-images.farfetch-contents.com/17/49/55/26/17495526_36523164_480.jpg,-0%,"$7,180"
,Louis Vuitton,pre-owned Keepall 55 travel bag,"$1,598",One Size,https://cdn-images.farfetch-contents.com/17/71/22/09/17712209_37444301_480.jpg,-0%,"$1,598"
,Louis Vuitton,2005 pre-owned Flat Shopper tote bag,"$4,734",One Size,https://cdn-images.farfetch-contents.com/17/28/29/86/17282986_35698788_480.jpg,-0%,"$4,734"
