ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
New Season,STAND STUDIO,Cia faux leather cap,$89,One Size,https://cdn-images.farfetch-contents.com/17/00/89/40/17008940_37813303_480.jpg,-0%,$89
New Season,Salvatore Ferragamo,Viva Bow hairclip,$220,One Size,https://cdn-images.farfetch-contents.com/17/62/02/85/17620285_37335258_480.jpg,-0%,$220
,Chloé,Alphabet leather purse,$310,One Size,https://cdn-images.farfetch-contents.com/16/98/72/17/16987217_36429222_480.jpg,-0%,$310
,Bottega Veneta,Intrecciato-weave cardholder,$350,One Size,https://cdn-images.farfetch-contents.com/16/98/66/47/16986647_36215021_480.jpg,-0%,$350
New Season,Versace,logo embroidered cap,$350,"M, L, XL",https://cdn-images.farfetch-contents.com/17/33/49/88/17334988_36595391_480.jpg,-0%,$350
New Season,Balenciaga,BB-buckle belt,$450,"XS, S, M, L",https://cdn-images.farfetch-contents.com/17/33/67/97/17336797_36897084_480.jpg,-0%,$450
New Season,STAND STUDIO,Freida faux leather beret,$89,One Size,https://cdn-images.farfetch-contents.com/17/00/71/25/17007125_38092302_480.jpg,-0%,$89
,Versace,Medusa Head crystal coffee cup,"$1,175",One Size,https://cdn-images.farfetch-contents.com/16/96/19/92/16961992_35822991_480.jpg,-0%,"$1,175"
New Season,Salvatore Ferragamo,Rajasthan print silk bandeau scarf,$310,One Size,https://cdn-images.farfetch-contents.com/17/62/10/03/17621003_37204862_480.jpg,-0%,$310
,Jil Sander,logo-patch cashmere scarf,$790,One Size,https://cdn-images.farfetch-contents.com/16/80/47/71/16804771_33384231_480.jpg,-0%,$790
,Jil Sander,cashmere-blend gloves,$390,One Size,https://cdn-images.farfetch-contents.com/16/80/55/79/16805579_33368354_480.jpg,-0%,$390
New Season,Salvatore Ferragamo,Gancini reversible belt,$495,"S, M, L",https://cdn-images.farfetch-contents.com/17/62/10/15/17621015_37346527_480.jpg,-0%,$495
New Season,STAND STUDIO,Cia faux leather cap,$118,One Size,https://cdn-images.farfetch-contents.com/17/00/71/23/17007123_37823742_480.jpg,-0%,$118
New Season,Givenchy,spray logo-monogram scarf,$600,One Size,https://cdn-images.farfetch-contents.com/17/73/16/12/17731612_37219014_480.jpg,-0%,$600
New Season,Palm Angels,palm-buckle belt,$495,"XS, S, M",https://cdn-images.farfetch-contents.com/17/57/28/57/17572857_37676791_480.jpg,-0%,$495
New Season,Maison Margiela,floral-print leather wallet purse,$720,One Size,https://cdn-images.farfetch-contents.com/17/50/74/12/17507412_37316636_480.jpg,-0%,$720
New Season,Valentino,VLogo silk scarf,$550,One Size,https://cdn-images.farfetch-contents.com/17/85/33/35/17853335_37710636_480.jpg,-0%,$550
,Maison Margiela,Tattersall-check panelled gloves,$870,"S, M, L",https://cdn-images.farfetch-contents.com/16/68/90/96/16689096_34253224_480.jpg,-0%,$870
New Season,Valentino Garavani,Rockstud leather wallet,$790,One Size,https://cdn-images.farfetch-contents.com/17/88/00/98/17880098_37662161_480.jpg,-0%,$790
New Season,Valentino,Optical logo-print bucket hat,$690,"S, M, L",https://cdn-images.farfetch-contents.com/17/85/15/23/17851523_37697951_480.jpg,-0%,$690
New Season,Balenciaga,Gossip chain wallet,"$1,090",One Size,https://cdn-images.farfetch-contents.com/17/73/15/00/17731500_37650285_480.jpg,-0%,"$1,090"
New Season,Bottega Veneta,charm-detail twisted key ring,$350,One Size,https://cdn-images.farfetch-contents.com/17/86/22/15/17862215_37680041_480.jpg,-0%,$350
,Jacquemus,textured shearling gloves,$665,One Size,https://cdn-images.farfetch-contents.com/16/71/00/35/16710035_37363545_480.jpg,-0%,$665
New Season,ETRO,floral-print scarf blouse,$940,One Size,https://cdn-images.farfetch-contents.com/17/81/80/56/17818056_37604585_480.jpg,-0%,$940
New Season,Ruslan Baginskiy,pearl-embellished fedora hat,$340,"XS, S, M, L",https://cdn-images.farfetch-contents.com/17/26/97/82/17269782_37884435_480.jpg,-0%,$340
,Givenchy,4G buckle leather belt,$550,"XS, S, M",https://cdn-images.farfetch-contents.com/17/53/45/07/17534507_37303282_480.jpg,-0%,$550
New Season,Brunello Cucinelli,metallic tassel-edge draped poncho,"$2,395",One Size,https://cdn-images.farfetch-contents.com/17/46/71/84/17467184_36786496_480.jpg,-0%,"$2,395"
New Season,Mulberry,ombré knit scarf,$385,One Size,https://cdn-images.farfetch-contents.com/17/29/57/61/17295761_37418450_480.jpg,-0%,$385
